dataset_name,group,seed,run_dir,linex_a,rmse,mae,nasa,val_rmse,val_mae,val_nasa,seq_len,batch_size,mc_samples_val,mc_samples_test,pred_std_mean,pred_std_std,mc_samples,val_pred_std_mean,val_pred_std_std,val_mc_samples
FD001,G1,7,seed_7,,16.27865105210588,11.44020643234253,800.7467055451503,10.048171055651478,6.481594961659385,9340.591182035085,50,128,,,,,,,,
FD001,G1,21,seed_21,,14.863513172073645,10.878820176124572,550.8221114696483,11.18903229181296,6.828099160759478,12712.064863274569,50,128,,,,,,,,
FD001,G1,42,seed_42,,17.19880285156831,12.808063793182374,381.0610620474002,12.719654624325393,8.71780703251607,9348.844307936142,50,128,,,,,,,,
FD001,G1,87,seed_87,,16.226312947096933,11.59270513534546,441.78558396053654,12.62116311543521,8.285383231354462,10612.840534515002,50,128,,,,,,,,
FD001,G1,123,seed_123,,15.105291757198907,11.384166765213013,371.39799495933613,12.192564568171735,8.584710180688422,9073.129057640946,50,128,,,,,,,,
FD001,G2,7,seed_7,,14.569152756664046,10.608802642822265,492.97550043328704,12.820298852267562,9.634171311480754,16465.28951407403,50,128,10.0,20.0,13.395511627197266,7.854844093322754,20.0,14.819001197814941,7.697304725646973,10.0
FD001,G2,21,seed_21,,15.929706195854006,11.875774321556092,392.85450142347685,13.068240301807105,9.823436378309072,11728.72556625682,50,128,10.0,20.0,13.332355499267578,7.414342403411865,20.0,15.626338005065918,8.003642082214355,10.0
FD001,G2,42,seed_42,,15.07206722743031,10.730458154678345,465.1800972316101,12.610531057442582,9.198575630923298,10829.31190596051,50,128,10.0,20.0,12.65791130065918,7.31956148147583,20.0,13.990716934204102,7.944333076477051,10.0
FD001,G2,87,seed_87,,14.57002400617345,10.59731873512268,349.36916765989116,13.844397608947066,10.099986690161,13913.745250958347,50,128,10.0,20.0,12.966653823852539,7.98028564453125,20.0,14.019450187683105,7.7592692375183105,10.0
FD001,G2,123,seed_123,,17.11501540623769,12.257898583412171,934.1547324428032,13.863842261838471,10.549852009810293,10807.58717247565,50,128,10.0,20.0,13.701249122619629,7.787109375,20.0,15.215622901916504,8.23897647857666,10.0
FD001,G3,7,seed_7_a_0.04,0.04,13.747908981633728,9.370653204917907,380.95109314897235,11.217048517263896,7.442644689586786,8189.9272434375725,50,128,,,,,,,,
FD001,G3,21,seed_21_a_0.04,0.04,15.665063117542585,11.282682867050172,668.8340814476672,11.490834978016135,7.310288947817988,9940.177159139908,50,128,,,,,,,,
FD001,G3,42,seed_42_a_0.04,0.04,14.630890018880082,10.424919471740722,417.96003419874154,11.237241581441111,7.742902944392505,8937.903051614987,50,128,,,,,,,,
FD001,G3,87,seed_87_a_0.04,0.04,16.102039392777574,11.489119753837585,495.87725902642023,12.24742148550438,7.904015543131487,12340.113504134924,50,128,,,,,,,,
FD001,G3,123,seed_123_a_0.04,0.04,14.961857124941309,10.525467329025268,627.919451744057,11.79054520504225,7.952343128886086,8482.981424747128,50,128,,,,,,,,
FD001,G4,7,seed_7_a_0.04,0.04,14.951555811183972,10.8582803440094,378.4900721871642,14.861543619119761,12.182765986774395,11926.960336570462,50,128,10.0,20.0,11.66524887084961,7.034433841705322,20.0,12.633718490600586,6.894016265869141,10.0
FD001,G4,21,seed_21_a_0.04,0.04,14.167943213746906,10.423243594169616,311.12933294713116,13.822164772734492,10.912827563136014,11941.54833946381,50,128,10.0,20.0,10.480303764343262,6.155625820159912,20.0,11.72039794921875,6.09358549118042,10.0
FD001,G4,42,seed_42_a_0.04,0.04,14.83377086116426,11.259215965270997,481.29920113818565,13.53240214698755,10.745070014911029,11044.109410060288,50,128,10.0,20.0,11.139643669128418,6.195219993591309,20.0,11.73073673248291,6.327455997467041,10.0
FD001,G4,87,seed_87_a_0.04,0.04,15.31614818898599,11.06302433013916,387.6893413858232,13.934657614732112,10.944685356454348,12260.58760639318,50,128,10.0,20.0,10.063936233520508,5.662109851837158,20.0,10.975340843200684,5.828009605407715,10.0
FD001,G4,123,seed_123_a_0.04,0.04,14.643518812137554,10.83295883655548,325.8450164331202,13.829243781684664,10.83339467501964,10654.704100156892,50,128,10.0,20.0,10.530981063842773,6.261467933654785,20.0,11.432607650756836,6.267805576324463,10.0
FD002,G1,7,seed_7,,18.68970515694922,13.088235775936525,3145.613003866477,17.41175203381137,11.753032112462677,94131.79560185946,50,128,,,,,,,,
FD002,G1,21,seed_21,,18.456205422959894,13.135981498998104,2807.9498016613093,16.73509503273379,11.52738047514969,98921.60594894373,50,128,,,,,,,,
FD002,G1,42,seed_42,,18.954258574508525,13.875363931692705,3030.494048189627,18.316083043231412,12.124306582475521,151815.2385628537,50,128,,,,,,,,
FD002,G1,87,seed_87,,19.997428106064046,14.31862902365136,3839.8478156584288,18.2680799181102,12.34941598579503,141106.73550985125,50,128,,,,,,,,
FD002,G1,123,seed_123,,19.12053965024406,13.3770288776707,4076.5026657875637,16.597717379105866,11.114695353982025,103581.42476622097,50,128,,,,,,,,
FD002,G2,7,seed_7,,19.51887808385879,14.097207131993356,3502.681880746163,17.088083774593017,12.256544655908794,114675.13818070416,50,128,10.0,20.0,10.23314094543457,4.550897121429443,20.0,11.02072811126709,5.0864129066467285,10.0
FD002,G2,21,seed_21,,19.80896811633509,14.258602650469335,2807.1242117235806,19.010017864983933,13.819273599578034,170777.5902295399,50,128,10.0,20.0,10.915830612182617,5.80327033996582,20.0,11.993454933166504,6.137903690338135,10.0
FD002,G2,42,seed_42,,18.63931176127475,13.424759653084067,3419.2891233205646,18.14752841532958,13.122378447342562,133052.45231383134,50,128,10.0,20.0,12.182740211486816,7.163342475891113,20.0,13.4664888381958,7.036467552185059,10.0
FD002,G2,87,seed_87,,19.68437691833196,13.911230149876657,2701.4409544910204,18.03522417833907,13.006287175488488,153716.14393119313,50,128,10.0,20.0,10.108559608459473,4.756558895111084,20.0,10.839309692382812,5.103519916534424,10.0
FD002,G2,123,seed_123,,19.52122524614776,14.366444970650102,3638.9272118459257,18.208462605298298,13.455909714817853,150786.5615258052,50,128,10.0,20.0,12.248608589172363,6.926823616027832,20.0,13.515443801879883,6.947273254394531,10.0
FD002,G3,7,seed_7_a_0.04,0.04,16.002928626303255,11.508655459724338,1836.9864663339183,14.195982710279779,9.846948499994957,56290.16877268198,50,128,,,,,,,,
FD002,G3,21,seed_21_a_0.04,0.04,16.175843432256116,12.110567869827094,1220.8109765825157,14.48594920437988,10.587280736019311,38533.06214722733,50,128,,,,,,,,
FD002,G3,42,seed_42_a_0.04,0.04,17.670035498167646,12.77992820187425,2507.724029190157,15.72423099123803,10.535435380483218,69968.01905944251,50,128,,,,,,,,
FD002,G3,87,seed_87_a_0.04,0.04,16.672102995995523,12.364503923070016,1833.9987178404217,15.852178810628205,11.179668866194396,69982.4975718018,50,128,,,,,,,,
FD002,G3,123,seed_123_a_0.04,0.04,17.61493099221759,12.40559393558723,2733.8674478583503,15.118353449733325,10.205306648871625,69832.78398079298,50,128,,,,,,,,
FD002,G4,7,seed_7_a_0.04,0.04,16.643106878772745,12.202086888685189,1670.896257577063,15.282681937411333,11.628665270838704,66385.75407242669,50,128,10.0,20.0,9.890215873718262,4.896213054656982,20.0,10.627941131591797,5.122711658477783,10.0
FD002,G4,21,seed_21_a_0.04,0.04,16.978298461275998,12.613877683072477,1392.426416318102,16.0135848919955,12.184724947871267,43671.66982148185,50,128,10.0,20.0,9.469138145446777,5.241760730743408,20.0,10.472841262817383,5.519954681396484,10.0
FD002,G4,42,seed_42_a_0.04,0.04,16.033186206315538,12.132841487648864,1623.7496257272905,16.566943586487913,12.624360679441198,67655.15278100061,50,128,10.0,20.0,10.152913093566895,5.405693531036377,20.0,11.003241539001465,5.58108377456665,10.0
FD002,G4,87,seed_87_a_0.04,0.04,17.6917299339305,13.232627030965444,1500.9731656481686,16.16529649171954,12.456697433412373,48407.452546667904,50,128,10.0,20.0,9.403182983398438,4.729714870452881,20.0,10.155950546264648,4.958853244781494,10.0
FD002,G4,123,seed_123_a_0.04,0.04,16.575885504684184,12.334661601593135,1538.3434958438302,16.765092405616855,12.820172329676854,82168.07634404398,50,128,10.0,20.0,9.166289329528809,4.108721733093262,20.0,9.791638374328613,4.456109046936035,10.0
FD003,G1,7,seed_7,,14.746975817865136,10.327366662025451,918.0497385211144,9.540006150015117,6.451752231349928,7675.609891937624,50,128,,,,,,,,
FD003,G1,21,seed_21,,14.4251919145276,9.80028588294983,515.8097498174461,9.873001008431954,6.429654844620122,7251.89202855901,50,128,,,,,,,,
FD003,G1,42,seed_42,,13.768936334852159,9.22034884929657,556.1225883186966,10.723215035746001,6.589958896987971,12659.549357668999,50,128,,,,,,,,
FD003,G1,87,seed_87,,13.270611634468292,9.61327465057373,331.3055020059247,14.48561553437693,8.878273218649731,22339.4121482135,50,128,,,,,,,,
FD003,G1,123,seed_123,,13.29186154146289,9.016220264434814,403.85843666017826,12.383078723071497,7.886146136974005,16947.79308411142,50,128,,,,,,,,
FD003,G2,7,seed_7,,13.20876457883012,9.078022150993347,400.38815477524463,11.008130217492237,8.09513472473077,10999.935833786574,50,128,10.0,20.0,13.492256164550781,7.52531623840332,20.0,16.234960556030273,7.929013252258301,10.0
FD003,G2,21,seed_21,,15.923164148434887,11.15620532989502,1260.3337705798033,13.161410317704373,9.916899996656712,14204.008921808441,50,128,10.0,20.0,15.054193496704102,7.149402141571045,20.0,16.67894172668457,7.7228169441223145,10.0
FD003,G2,42,seed_42,,15.509525518918906,11.059938650131226,592.9248007631513,12.37473141563942,9.363252369253173,12346.840263370827,50,128,10.0,20.0,12.829322814941406,7.181299209594727,20.0,15.338069915771484,7.818114757537842,10.0
FD003,G2,87,seed_87,,14.297325614811244,10.18000922203064,492.3449284434138,14.518882695702656,10.626785367550935,20578.971076351234,50,128,10.0,20.0,14.852635383605957,7.828591346740723,20.0,16.05854606628418,7.8791303634643555,10.0
FD003,G2,123,seed_123,,13.581451019576525,9.615568175315858,478.6202566569663,14.073764287429164,10.526888136406793,15884.561380056828,50,128,10.0,20.0,14.102931022644043,7.466219425201416,20.0,16.55012321472168,8.20556926727295,10.0
FD003,G3,7,seed_7_a_0.04,0.04,13.455913178769714,9.594817895889282,325.1329451131473,9.295729322241788,5.989982138408863,7699.287432688781,50,128,,,,,,,,
FD003,G3,21,seed_21_a_0.04,0.04,13.044078912354818,8.824596929550172,460.8755605499637,10.3223669497106,6.823494991018036,7719.453372778627,50,128,,,,,,,,
FD003,G3,42,seed_42_a_0.04,0.04,12.855157618222211,9.466173086166382,252.84711642182626,10.630250413059807,7.10388314252494,9258.44490676536,50,128,,,,,,,,
FD003,G3,87,seed_87_a_0.04,0.04,13.238365389984532,9.096984877586365,356.09568680559255,13.397411047413664,8.898295366058058,16452.61709585342,50,128,,,,,,,,
FD003,G3,123,seed_123_a_0.04,0.04,13.6352371835548,9.596371011734009,327.69181533318215,12.103433910601725,8.237805133846143,14069.019092169703,50,128,,,,,,,,
FD003,G4,7,seed_7_a_0.04,0.04,13.226986463218383,10.330097589492798,253.28695062182916,13.835668198386914,11.180795817717367,12628.73835865278,50,128,10.0,20.0,12.00990104675293,6.516940593719482,20.0,14.747355461120605,7.1270928382873535,10.0
FD003,G4,21,seed_21_a_0.04,0.04,13.229030437214748,9.553715682029724,258.76234227789314,14.539736338452842,11.522916471182816,12879.992466514836,50,128,10.0,20.0,11.063161849975586,6.354269504547119,20.0,13.072964668273926,6.8210906982421875,10.0
FD003,G4,42,seed_42_a_0.04,0.04,14.290090265789997,10.731189131736755,320.389479716153,12.353192030369506,9.915721910758313,9181.394332312839,50,128,10.0,20.0,10.449963569641113,6.201816082000732,20.0,11.897248268127441,6.303893089294434,10.0
FD003,G4,87,seed_87_a_0.04,0.04,13.212272006839965,9.841456170082092,301.59776861608543,15.359578562836486,11.620627281026929,18444.44893608021,50,128,10.0,20.0,9.953988075256348,5.608828067779541,20.0,11.78335189819336,5.799376487731934,10.0
FD003,G4,123,seed_123_a_0.04,0.04,13.872001706060733,9.972437291145324,270.9001364836478,13.25287253736047,10.27116149994718,11668.548899047204,50,128,10.0,20.0,8.905867576599121,4.755200386047363,20.0,11.033469200134277,5.356714248657227,10.0
FD004,G1,7,seed_7,,23.98414852538169,17.174524995588488,7925.574988076265,19.304019890595953,12.412753468211204,226364.824189013,50,128,,,,,,,,
FD004,G1,21,seed_21,,21.805861764718227,15.734307685206014,5246.841487280864,17.93861164688456,12.192947449644736,134950.48343752846,50,128,,,,,,,,
FD004,G1,42,seed_42,,22.428443789107494,16.16387572211604,8905.22692798414,19.11041780652969,12.424006948685909,413687.4514038677,50,128,,,,,,,,
FD004,G1,87,seed_87,,25.129343122698323,17.73733215947305,26945.797849750616,19.248785638247135,12.56635192055232,341301.5200101952,50,128,,,,,,,,
FD004,G1,123,seed_123,,21.997462986447673,15.580182898429133,6008.971449302246,18.753163247443197,11.73311089663905,222278.82073428313,50,128,,,,,,,,
FD004,G2,7,seed_7,,21.920232248276637,16.18527151692298,7057.157712275409,18.50247730836366,12.746073315394094,352527.22129023087,50,128,10.0,20.0,10.282248497009277,3.926537036895752,20.0,11.101633071899414,4.441826343536377,10.0
FD004,G2,21,seed_21,,23.579482898764912,17.872729905190006,5552.967203218003,19.747048127469323,14.603974956756781,125333.66500167505,50,128,10.0,20.0,12.24945068359375,6.743842601776123,20.0,13.647466659545898,6.864952564239502,10.0
FD004,G2,42,seed_42,,22.176544952898592,16.83104432782819,5590.555569773605,20.876362463067046,15.604585717215404,361773.1238884243,50,128,10.0,20.0,15.210315704345703,7.467233180999756,20.0,16.633630752563477,7.582239627838135,10.0
FD004,G2,87,seed_87,,23.175103623389802,17.026586098055684,10354.273973390727,19.08151820247282,13.702161267381184,219501.29342517033,50,128,10.0,20.0,12.382899284362793,6.720058917999268,20.0,14.131336212158203,6.818910598754883,10.0
FD004,G2,123,seed_123,,22.364167339240755,16.000057420422955,12688.828037320032,18.940568738251436,13.39969405838869,196664.1374591814,50,128,10.0,20.0,12.330967903137207,6.268709659576416,20.0,13.330131530761719,6.314835548400879,10.0
FD004,G3,7,seed_7_a_0.04,0.04,19.516406937903103,13.33810370583688,2579.6940742490233,16.78363497724723,10.730236181614178,215068.7882780601,50,128,,,,,,,,
FD004,G3,21,seed_21_a_0.04,0.04,20.06174607984328,14.409005188172863,2983.3460913419335,15.591573168773088,10.879637306504998,59594.64664894745,50,128,,,,,,,,
FD004,G3,42,seed_42_a_0.04,0.04,20.03469596529263,14.224773618482775,4218.159463618309,17.518693601208426,10.414361086858692,439523.43203276664,50,128,,,,,,,,
FD004,G3,87,seed_87_a_0.04,0.04,18.76185886117829,13.143400349924642,2366.5142257184225,15.97130303569516,10.662877126216666,202282.64350058493,50,128,,,,,,,,
FD004,G3,123,seed_123_a_0.04,0.04,22.082494391902774,15.188532492806834,10112.7258990932,16.865739071233502,10.860998814009445,103038.13993639241,50,128,,,,,,,,
FD004,G4,7,seed_7_a_0.04,0.04,18.808864064175758,14.256809034655172,2097.10056090919,17.925337072669368,13.6199968509048,169105.59764131973,50,128,10.0,20.0,10.15025520324707,4.879739761352539,20.0,11.081296920776367,4.919255256652832,10.0
FD004,G4,21,seed_21_a_0.04,0.04,20.67819684373292,15.728288646667234,3608.3122016989782,17.793201876900362,13.798528071848814,93301.4260308376,50,128,10.0,20.0,11.127424240112305,6.098447322845459,20.0,12.336658477783203,6.0323967933654785,10.0
FD004,G4,42,seed_42_a_0.04,0.04,19.135703460577766,14.002130248854238,2214.950566901698,17.81462673946802,12.011615471711153,337310.1089675431,50,128,10.0,20.0,9.712708473205566,4.075018405914307,20.0,10.531343460083008,4.476264476776123,10.0
FD004,G4,87,seed_87_a_0.04,0.04,18.70947488313493,14.161404613525637,2089.5085874439874,17.4654423427225,13.23429978042655,150134.80233185555,50,128,10.0,20.0,11.147704124450684,6.190497398376465,20.0,12.541642189025879,6.139338493347168,10.0
FD004,G4,123,seed_123_a_0.04,0.04,19.861468720280325,14.280891791466743,3309.3919875045344,17.83562689803724,12.937025169178646,100099.78473237969,50,128,10.0,20.0,9.962467193603516,4.698928356170654,20.0,10.762020111083984,4.8988847732543945,10.0
